cells_per_level,spectral_radius,input_scale,leaking_rate,ridge_alpha,mean_T_VPT,std_dev
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.1,0.1,1e-08,3.560000000000002,1.5077341351253613
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.1,0.2,1e-08,5.275111111111111,1.4861263924447974
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.1,0.3,1e-08,6.58711111111111,1.9209079129090347
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.1,0.4,1e-08,7.008888888888889,1.7038390928491423
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.1,0.5,1e-08,7.095111111111113,1.344362091141656
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.1,0.6,1e-08,6.872000000000002,1.569194556310834
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.1,0.7,1e-08,6.50711111111111,2.061844505638604
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.1,0.8,1e-08,6.217777777777779,2.3497109882696345
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.1,0.9,1e-08,6.177777777777781,2.528346749152619
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.3,0.1,1e-08,7.2071111111111135,1.696475591365453
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.3,0.2,1e-08,8.181777777777778,1.7364066201835573
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.3,0.3,1e-08,8.795111111111114,1.8922962209057868
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.3,0.4,1e-08,10.116000000000001,2.2162895919882755
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.3,0.5,1e-08,10.407111111111112,2.1410533463925563
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.3,0.6,1e-08,10.799555555555557,2.1642817187290313
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.3,0.7,1e-08,10.478222222222223,2.489611561749154
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.3,0.8,1e-08,9.930666666666669,2.2652725124266078
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.3,0.9,1e-08,9.96177777777778,2.2556273223393863
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.5,0.1,1e-08,8.271999999999998,1.7890104030503076
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.5,0.2,1e-08,8.82,1.6764777892288873
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.5,0.3,1e-08,9.744444444444445,2.6178019240538895
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.5,0.4,1e-08,10.353333333333333,2.1562024229855807
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.5,0.5,1e-08,10.498666666666669,2.1729954747613562
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.5,0.6,1e-08,10.555555555555557,1.9362639346667998
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.5,0.7,1e-08,11.044444444444448,1.9062371958687565
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.5,0.8,1e-08,11.438222222222223,1.629466564232177
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.5,0.9,1e-08,11.62,1.1977682951593303
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.7,0.1,1e-08,9.219555555555555,2.2191589553557907
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.7,0.2,1e-08,10.278666666666668,1.8101413081733582
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.7,0.3,1e-08,10.433333333333334,2.003840756591645
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.7,0.4,1e-08,11.094666666666667,1.8042832987705175
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.7,0.5,1e-08,11.553333333333333,1.3012882505852077
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.7,0.6,1e-08,11.829333333333334,1.416886100652492
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.7,0.7,1e-08,12.223555555555555,1.0286845009375498
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.7,0.8,1e-08,12.280000000000001,1.6606183587246448
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.7,0.9,1e-08,12.51688888888889,1.6302199200274556
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.9,0.1,1e-08,10.404000000000002,1.7749446313742987
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.9,0.2,1e-08,11.478666666666669,1.6400563675949946
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.9,0.3,1e-08,11.437777777777779,1.8800483313987062
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.9,0.4,1e-08,11.516888888888891,1.3544458846041019
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.9,0.5,1e-08,12.198666666666668,1.5355022341602473
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.9,0.6,1e-08,12.572888888888885,2.1088307684298764
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.9,0.7,1e-08,12.575111111111111,1.6937330528513006
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.9,0.8,1e-08,12.259555555555558,1.1679306591965801
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,0.9,0.9,1e-08,12.521333333333331,1.6255591858393423
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,1.0,0.1,1e-08,10.823555555555556,2.034127883618328
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,1.0,0.2,1e-08,11.670666666666667,1.613540482568965
"[5, 15, 25, 30, 35, 40, 45, 50, 55]",0.92,1.0,0.3,1e-08,11.548444444444446,1.8257296326011756
