spectral_radius,jump,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,5,0.1,1e-07,0.1,35.055693344356435,43.72503140157571
0.92,5,0.1,1e-07,0.3,57.857961970290944,44.7498618704895
0.92,5,0.1,1e-07,0.5,60.15859046501498,27.787399798562596
0.92,5,0.1,1e-07,0.7,68.73038731987447,42.83813512847512
0.92,5,0.1,1e-07,0.9,60.50350694722244,40.4058368714515
0.92,5,0.2,1e-07,0.1,60.34349414619835,38.61304041446502
0.92,5,0.2,1e-07,0.3,79.16855570667875,35.2685619194753
0.92,5,0.2,1e-07,0.5,85.45261398689672,43.82203002828217
0.92,5,0.2,1e-07,0.7,104.30923362757912,60.227142707615066
0.92,5,0.2,1e-07,0.9,99.28038687539447,55.97794326450886
0.92,5,0.3,1e-07,0.1,68.0272199553742,51.90900170316111
0.92,5,0.3,1e-07,0.3,95.24006364953641,61.237943751044014
0.92,5,0.3,1e-07,0.5,91.32197242446063,53.484238582834536
0.92,5,0.3,1e-07,0.7,102.52998017619187,61.471504534804374
0.92,5,0.3,1e-07,0.9,98.90835711301348,54.63820908390769
0.92,5,0.4,1e-07,0.1,68.75572268003661,54.11151236229016
0.92,5,0.4,1e-07,0.3,83.0515330115298,48.06530202097651
0.92,5,0.4,1e-07,0.5,105.92402947791379,58.280614400213864
0.92,5,0.4,1e-07,0.7,90.23477433750253,42.29237629241024
0.92,5,0.4,1e-07,0.9,97.82693726609241,49.02754117402735
0.92,5,0.5,1e-07,0.1,76.31143824839319,55.713233051899174
0.92,5,0.5,1e-07,0.3,79.69526451004968,42.55446431115634
0.92,5,0.5,1e-07,0.5,106.92544292432287,56.90676104409727
0.92,5,0.5,1e-07,0.7,106.04581699869324,57.78920617845568
0.92,5,0.5,1e-07,0.9,103.3998275417589,55.4450168856033
0.92,5,0.6,1e-07,0.1,70.81855437323875,45.69654982858773
0.92,5,0.6,1e-07,0.3,80.76646131690534,50.212537041343694
0.92,5,0.6,1e-07,0.5,103.59539874301052,52.257016683074795
0.92,5,0.6,1e-07,0.7,113.76376776808813,59.592652295680644
0.92,5,0.6,1e-07,0.9,112.00007111680047,60.34024752338372
0.92,5,0.7,1e-07,0.1,67.86631819434443,35.65476483244366
0.92,5,0.7,1e-07,0.3,92.60785307269023,60.363972840328636
0.92,5,0.7,1e-07,0.5,99.56352063720654,57.258877067364864
0.92,5,0.7,1e-07,0.7,96.73396093909736,51.145283165235234
0.92,5,0.7,1e-07,0.9,91.16595994346214,48.35146626975494
0.92,5,0.8,1e-07,0.1,64.99631081597637,46.13003236908278
0.92,5,0.8,1e-07,0.3,87.8483612022295,56.28099994662128
0.92,5,0.8,1e-07,0.5,88.49507960636849,47.5089299626044
0.92,5,0.8,1e-07,0.7,78.94275986523365,43.98465701034816
0.92,5,0.8,1e-07,0.9,64.46782409259406,32.470907720005854
0.92,5,0.9,1e-07,0.1,57.475709167844535,42.45290141034244
0.92,5,0.9,1e-07,0.3,74.54951951711692,40.470735132739854
0.92,5,0.9,1e-07,0.5,83.92538069712243,51.37695804776666
0.92,5,0.9,1e-07,0.7,56.15293667937879,33.368159672164325
0.92,5,0.9,1e-07,0.9,54.46569058858041,41.20595602386765
0.92,5,1.0,1e-07,0.1,61.33557351254766,53.398818043914744
0.92,5,1.0,1e-07,0.3,81.11760051915265,51.48877961066319
0.92,5,1.0,1e-07,0.5,73.49743535038357,45.31851260828754
0.92,5,1.0,1e-07,0.7,58.86826501675689,43.840830235959366
0.92,5,1.0,1e-07,0.9,60.76663910890648,45.91229716940216
0.92,10,0.1,1e-07,0.1,24.36239343591932,15.747785641520805
0.92,10,0.1,1e-07,0.3,63.664204247450904,43.69736659378409
0.92,10,0.1,1e-07,0.5,71.22836493586152,51.79337797574766
0.92,10,0.1,1e-07,0.7,63.51041416646664,42.323501695982245
0.92,10,0.1,1e-07,0.9,62.84991688223945,41.19572843810717
0.92,10,0.2,1e-07,0.1,67.74319723355646,54.74881649282986
