spectral_radius,connectivity,input_scale,ridge_alpha,leaking_rate,mean_T_VPT,std_dev
0.92,0.01,0.1,1e-07,0.1,35.91353974984665,47.2513568083078
0.92,0.01,0.1,1e-07,0.3,30.570445635650852,29.457515862612528
0.92,0.01,0.1,1e-07,0.5,30.0784062725018,40.11886732248639
0.92,0.01,0.1,1e-07,0.7,41.38686650487595,46.09533918046435
0.92,0.01,0.1,1e-07,0.9,46.45038269728246,49.923752446620334
0.92,0.01,0.2,1e-07,0.1,66.83112426771919,61.8718952426897
0.92,0.01,0.2,1e-07,0.3,48.43809727000382,55.39209780435109
0.92,0.01,0.2,1e-07,0.5,70.1771697291339,58.977722435565
0.92,0.01,0.2,1e-07,0.7,86.04866167071143,54.79659466180819
0.92,0.01,0.2,1e-07,0.9,94.29821052350856,49.26611277542279
0.92,0.01,0.3,1e-07,0.1,56.828990763705534,53.57860499327296
0.92,0.01,0.3,1e-07,0.3,64.3229236116667,50.71637608039833
0.92,0.01,0.3,1e-07,0.5,82.28880532664834,49.16781578208079
0.92,0.01,0.3,1e-07,0.7,92.3993919513561,50.839278631091354
0.92,0.01,0.3,1e-07,0.9,114.69539785405054,62.29117035835217
0.92,0.01,0.4,1e-07,0.1,53.413161941844244,47.32548893992064
0.92,0.01,0.4,1e-07,0.3,75.75094896480607,47.13125267461796
0.92,0.01,0.4,1e-07,0.5,100.74850432479046,65.237833158459
0.92,0.01,0.4,1e-07,0.7,118.75972300006221,63.74487829116173
0.92,0.01,0.4,1e-07,0.9,107.40014756736095,58.02225772441962
0.92,0.01,0.5,1e-07,0.1,61.48803015352338,58.92068922193673
0.92,0.01,0.5,1e-07,0.3,74.30105519552674,46.034903917990604
0.92,0.01,0.5,1e-07,0.5,93.24923771679512,55.04500127486441
0.92,0.01,0.5,1e-07,0.7,94.90003644736021,55.77843235444852
0.92,0.01,0.5,1e-07,0.9,92.98743899511962,52.561630708784584
0.92,0.01,0.6,1e-07,0.1,50.73161408468233,52.59332425958736
0.92,0.01,0.6,1e-07,0.3,85.07302806446738,58.746348127533906
0.92,0.01,0.6,1e-07,0.5,93.84617436061552,63.365146849186345
0.92,0.01,0.6,1e-07,0.7,95.21472828937424,61.41157375252831
0.92,0.01,0.6,1e-07,0.9,94.08352668213455,59.90243415907795
0.92,0.01,0.7,1e-07,0.1,35.209927905343534,29.8351131062039
0.92,0.01,0.7,1e-07,0.3,86.08066423091624,66.26001801006726
0.92,0.01,0.7,1e-07,0.5,84.72855606226275,51.31269590512998
0.92,0.01,0.7,1e-07,0.7,84.54987510111918,52.63377940125081
0.92,0.01,0.7,1e-07,0.9,96.30414877634654,62.27199835972615
