spectral_radius,input_scale,leaking_rate,ridge_alpha,connectivity,mean_T_VPT,std_dev
0.9,0.2,0.3,1e-06,0.02,9.140000000000004,1.0563900794687575
0.9,0.2,0.3,1e-06,0.04,8.725000000000005,1.9235994905385032
0.9,0.2,0.3,1e-06,0.06,8.562000000000006,1.2760548577549455
0.9,0.2,0.3,1e-06,0.08,8.580000000000004,1.888427917607657
0.9,0.2,0.3,1e-06,0.1,8.646000000000004,1.7587393212184683
0.9,0.2,0.3,1e-07,0.02,9.819000000000004,0.8483036013126423
0.9,0.2,0.3,1e-07,0.04,9.846000000000005,1.4388620503717533
0.9,0.2,0.3,1e-07,0.06,9.212000000000002,1.1031663519161559
0.9,0.2,0.3,1e-07,0.08,9.741000000000005,1.4822074753555938
0.9,0.2,0.3,1e-07,0.1,9.471,1.3328987208336567
0.9,0.2,0.4,1e-06,0.02,8.865000000000004,1.6177994313263955
0.9,0.2,0.4,1e-06,0.04,9.763000000000003,1.349729972994596
0.9,0.2,0.4,1e-06,0.06,9.464000000000002,1.414236189609075
0.9,0.2,0.4,1e-06,0.08,9.078000000000005,1.4174187807419545
0.9,0.2,0.4,1e-06,0.1,9.307000000000006,1.6297027336296626
0.9,0.2,0.4,1e-07,0.02,10.628000000000004,1.4550106528819633
0.9,0.2,0.4,1e-07,0.04,10.394000000000007,1.147921600110393
0.9,0.2,0.4,1e-07,0.06,10.204000000000004,1.268851449146037
0.9,0.2,0.4,1e-07,0.08,10.628000000000004,1.3953551519236986
0.9,0.2,0.4,1e-07,0.1,10.458000000000004,1.458984578396906
0.9,0.2,0.5,1e-06,0.02,9.653000000000004,1.4354689129340288
0.9,0.2,0.5,1e-06,0.04,9.444,1.2995783931721883
0.9,0.2,0.5,1e-06,0.06,8.933000000000003,1.1197727448013737
0.9,0.2,0.5,1e-06,0.08,9.862000000000002,1.340998135718315
0.9,0.2,0.5,1e-06,0.1,9.768000000000006,1.1921308652996114
0.9,0.2,0.5,1e-07,0.02,10.512,1.181920471097777
0.9,0.2,0.5,1e-07,0.04,10.350000000000005,0.9669643219891837
0.9,0.2,0.5,1e-07,0.06,9.864000000000008,1.0034460623272177
0.9,0.2,0.5,1e-07,0.08,11.382000000000005,2.001568385042089
0.9,0.2,0.5,1e-07,0.1,10.890000000000004,1.405837828485204
0.9,0.2,0.6,1e-06,0.02,9.805000000000001,1.343143700428215
0.9,0.2,0.6,1e-06,0.04,9.713000000000006,1.156672382310561
0.9,0.2,0.6,1e-06,0.06,9.969000000000005,1.1600599122459165
0.9,0.2,0.6,1e-06,0.08,9.682000000000006,1.6333389115551005
